,Diabetes_binary,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,HvyAlcoholConsump,Sex,Age,patient_id,name
Patient_identfication_number,0.529,0.176,0.167,0.167,0.2,0.235,0.235,0.444,0.263,0.35,0.059,0.125,0.533,0.267
First_Last_Names,0.571,0.067,0.133,0.133,0.167,0.308,0.308,0.375,0.25,0.278,0.167,0.167,0.462,0.364
Age,0.167,0.143,0.125,0.125,0.0,0.125,0.125,0.167,0.091,0.071,0.2,1.0,0.222,0.4
Patient_gender,0.615,0.25,0.143,0.067,0.083,0.143,0.231,0.4,0.267,0.158,0.083,0.3,0.8,0.273
diabetes,0.636,0.2,0.083,0.083,0.25,0.182,0.3,0.5,0.333,0.118,0.25,0.25,0.5,0.222
heart_disease_status,0.615,0.154,0.143,0.143,0.083,0.231,0.333,0.615,0.357,0.222,0.182,0.182,0.5,0.167
Systolic_BP,0.4,0.25,0.333,0.231,0.182,0.143,0.231,0.312,0.462,0.375,0.083,0.0,0.286,0.0
Diaolistic_BP,0.467,0.231,0.308,0.214,0.167,0.133,0.214,0.467,0.429,0.353,0.077,0.077,0.462,0.071
bmi,0.167,0.333,0.125,0.0,1.0,0.125,0.0,0.077,0.091,0.071,0.0,0.0,0.1,0.167
cholesterol,0.267,0.083,0.4,0.556,0.0,0.4,0.556,0.583,0.308,0.333,0.222,0.1,0.143,0.091
smoker,0.214,0.0,0.091,0.333,0.125,1.0,0.714,0.417,0.071,0.2,0.286,0.125,0.077,0.25
medications,0.5,0.071,0.231,0.231,0.182,0.333,0.333,0.615,0.357,0.375,0.182,0.182,0.5,0.4
