,Diabetes_binary,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,HvyAlcoholConsump,Sex,Age,patient_id,name
Patient_identfication_number,0.179,0.052,0.038,0.043,0.091,0.075,0.072,0.149,0.115,0.108,0.026,0.055,0.682,0.141
First_Last_Names,0.153,0.009,0.024,0.021,0.045,0.075,0.126,0.141,0.067,0.059,0.057,0.048,0.162,0.378
Age,0.07,0.087,0.073,0.019,0.0,0.029,0.027,0.099,0.02,0.016,0.041,1.0,0.049,0.085
Patient_gender,0.134,0.061,0.034,0.02,0.018,0.083,0.074,0.14,0.081,0.036,0.042,0.199,0.628,0.119
diabetes,0.672,0.047,0.013,0.02,0.085,0.049,0.067,0.156,0.064,0.016,0.07,0.08,0.12,0.064
heart_disease_status,0.17,0.04,0.047,0.063,0.014,0.076,0.125,0.577,0.092,0.06,0.186,0.083,0.176,0.067
Systolic_BP,0.137,0.108,0.09,0.102,0.065,0.048,0.095,0.069,0.163,0.13,0.041,0.0,0.086,0.0
Diaolistic_BP,0.223,0.123,0.103,0.095,0.101,0.031,0.075,0.133,0.118,0.103,0.019,0.022,0.171,0.018
bmi,0.108,0.088,0.024,0.0,1.0,0.061,0.0,0.014,0.036,0.026,0.0,0.0,0.049,0.08
cholesterol,0.105,0.048,0.347,0.373,0.0,0.135,0.202,0.118,0.053,0.218,0.053,0.037,0.041,0.03
smoker,0.05,0.0,0.022,0.071,0.061,1.0,0.392,0.11,0.012,0.064,0.057,0.029,0.013,0.073
medications,0.127,0.025,0.054,0.069,0.087,0.074,0.062,0.151,0.101,0.167,0.039,0.045,0.223,0.183
