,Diabetes_binary,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,HvyAlcoholConsump,Sex,Age,patient_id,name
Patient_identfication_number,0,0,0,0,0,0,0,0,0,0,0,0,1,0
First_Last_Names,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Age,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Patient_gender,0,0,0,0,0,0,0,0,0,0,1,0,0,0
diabetes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
heart_disease_status,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Systolic_BP,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diaolistic_BP,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bmi,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cholesterol,0,0,0,1,0,0,0,0,0,0,0,0,0,0
smoker,0,0,0,0,0,1,0,0,0,0,0,0,0,0
medications,0,0,0,0,0,0,0,0,0,1,0,0,0,0
