,gender,age,currentSmoker,BPMeds,diabetes,totChol,sysBP,diaBP,BMI,glucose,TenYearCHD,patient_id,name
Patient_identfication_number,0.179,0.071,0.214,0.071,0.143,0.107,0.0,0.107,0.0,0.107,0.143,0.321,0.143
First_Last_Names,0.062,0.125,0.188,0.062,0.25,0.125,0.125,0.125,0.0,0.125,0.062,0.188,0.188
Age,0.167,0.667,0.077,0.167,0.125,0.0,0.0,0.0,0.0,0.143,0.1,0.1,0.25
Patient_gender,0.429,0.214,0.357,0.143,0.214,0.143,0.0,0.071,0.0,0.071,0.143,0.571,0.143
diabetes,0.125,0.25,0.231,0.25,1.0,0.0,0.0,0.375,0.0,0.125,0.1,0.2,0.25
heart_disease_status,0.15,0.1,0.1,0.1,0.3,0.1,0.1,0.15,0.0,0.1,0.15,0.25,0.1
Systolic_BP,0.0,0.0,0.0,0.0,0.0,0.182,0.364,0.273,0.0,0.182,0.0,0.182,0.0
Diaolistic_BP,0.0,0.077,0.0,0.077,0.231,0.154,0.231,0.308,0.0,0.154,0.0,0.231,0.077
bmi,0.0,0.0,0.077,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25
cholesterol,0.273,0.091,0.308,0.091,0.273,0.364,0.091,0.0,0.0,0.182,0.091,0.182,0.091
smoker,0.333,0.167,0.385,0.0,0.125,0.0,0.167,0.0,0.0,0.143,0.2,0.1,0.167
medications,0.091,0.091,0.154,0.091,0.364,0.091,0.0,0.273,0.0,0.182,0.182,0.182,0.091
