,gender,age,currentSmoker,BPMeds,diabetes,totChol,sysBP,diaBP,BMI,glucose,TenYearCHD,patient_id,name
Patient_identfication_number,0.25,0.125,0.471,0.312,0.375,0.176,0.118,0.333,0.2,0.222,0.412,0.533,0.267
First_Last_Names,0.231,0.167,0.4,0.214,0.385,0.143,0.071,0.143,0.167,0.2,0.333,0.462,0.364
Age,0.333,1.0,0.083,0.125,0.25,0.0,0.0,0.143,0.0,0.25,0.2,0.222,0.4
Patient_gender,0.5,0.3,0.25,0.231,0.417,0.071,0.077,0.364,0.083,0.133,0.462,0.8,0.273
diabetes,0.2,0.25,0.214,0.444,1.0,0.091,0.222,0.5,0.25,0.167,0.333,0.5,0.222
heart_disease_status,0.25,0.182,0.333,0.231,0.545,0.154,0.077,0.25,0.083,0.214,0.462,0.5,0.167
Systolic_BP,0.0,0.0,0.25,0.231,0.308,0.364,0.4,0.25,0.182,0.308,0.188,0.286,0.0
Diaolistic_BP,0.067,0.077,0.235,0.308,0.5,0.333,0.25,0.455,0.167,0.286,0.25,0.462,0.071
bmi,0.0,0.0,0.083,0.286,0.25,0.0,0.167,0.333,1.0,0.0,0.0,0.1,0.167
cholesterol,0.182,0.1,0.5,0.167,0.25,0.625,0.091,0.0,0.0,0.5,0.417,0.143,0.091
smoker,0.222,0.125,0.6,0.333,0.182,0.1,0.111,0.0,0.125,0.3,0.154,0.077,0.25
medications,0.25,0.182,0.538,0.333,0.545,0.25,0.077,0.25,0.182,0.308,0.462,0.5,0.4
