case,matchers,Combiner,threshold,precision,recall,f1_score
Case 1,semantic + LCMS + Jaccard + word2vec,Weighted Avg,0.6,0.75,0.857,0.8
Case 2,semantic + LCMS + word2vec,Weighted Avg,0.6,0.75,0.857,0.8
Case 3,semantic + Jaccard,Weighted Avg,0.6,1.0,0.571,0.727
Case 4,semantic + LCMS,Weighted Avg,0.6,1.0,0.571,0.727
Case 5,semantic + LCMS,Avg,0.6,0.75,0.429,0.545
Case 6,Jaccard + word2vec,Avg,0.4,0.097,0.857,0.174
Case 7,semantic + LCMS + Jaccard + word2vec,Avg,0.1,0.714,0.714,0.714
Case 8,semantic + Jaccard,Max,0.6,1.0,0.571,0.727
Case 9,LCMS + word2vec,Max,0.96,1.0,0.429,0.6
Case 10,semantic + LCMS + Jaccard + word2vec,MAX,0.9,0.227,0.714,0.345
Case 11,semantic + LCMS,HADAPT,0.4,0.857,0.857,0.857
