,patient_id,name,age,sex,target,chol,smoke,cp,trestbps,restecg,oldpeak,slope
Patient_identfication_number,0.5263158,0.125,0.1290323,0.0645161,0.1176471,0.125,0.0606061,0.0666667,0.0555556,0.1714286,0.1142857,0.1212121
First_Last_Names,0.2307692,0.4,0.2105263,0.2105263,0.1818182,0.1,0.2857143,0.0,0.3333333,0.3478261,0.173913,0.2857143
Age,0.3076923,0.5714286,1.0,0.3333333,0.6666667,0.0,0.25,0.0,0.1818182,0.2,0.2,0.25
Patient_gender,0.75,0.2222222,0.3529412,0.1176471,0.3,0.0,0.1052632,0.125,0.0909091,0.2857143,0.1904762,0.2105263
diabetes,0.1111111,0.3333333,0.3636364,0.1818182,0.4285714,0.0,0.1538462,0.0,0.375,0.4,0.2666667,0.1538462
heart_disease_status,0.2666667,0.0833333,0.0869565,0.173913,0.2307692,0.0833333,0.08,0.0,0.2857143,0.2222222,0.1481481,0.08
Systolic_BP,0.2857143,0.0,0.0,0.1428571,0.1176471,0.2666667,0.25,0.3076923,0.4210526,0.3333333,0.3333333,0.375
Diaolistic_BP,0.3478261,0.1176471,0.125,0.125,0.2105263,0.2352941,0.1111111,0.2666667,0.3809524,0.3,0.3,0.2222222
bmi,0.1538462,0.2857143,0.0,0.0,0.0,0.0,0.25,0.0,0.1818182,0.0,0.0,0.0
cholesterol,0.1904762,0.1333333,0.1428571,0.1428571,0.2352941,0.5333333,0.25,0.1538462,0.3157895,0.4444444,0.3333333,0.25
smoker,0.125,0.4,0.2222222,0.4444444,0.1666667,0.2,0.9090909,0.0,0.1428571,0.3076923,0.3076923,0.5454545
medications,0.3809524,0.2666667,0.1428571,0.1428571,0.2352941,0.2666667,0.25,0.1538462,0.3157895,0.2222222,0.2222222,0.125
