,patient_id,name,age,sex,target,chol,smoke,cp,trestbps,restecg,oldpeak,slope
Patient_identfication_number,0.4508929,0.4280260,0.2297182,0.1584875,0.3088982,0.0625000,0.1909774,0.0975610,0.2244898,0.2268284,0.2268284,0.1856287
First_Last_Names,0.2595420,0.3980583,0.2444444,0.2444444,0.3924051,0.0666667,0.2587413,0.0000000,0.3805310,0.4270270,0.1528384,0.1842105
Age,0.1538462,0.4000000,1.0000000,0.2000000,0.5000000,0.0000000,0.1428571,0.0000000,0.1000000,0.1111111,0.1111111,0.1428571
Patient_gender,0.4857143,0.3414634,0.3917526,0.1637931,0.3604651,0.0000000,0.1314286,0.0800000,0.2209302,0.2465753,0.2465753,0.2073171
diabetes,0.1538462,0.2000000,0.2222222,0.1000000,0.2727273,0.0000000,0.0833333,0.0000000,0.2307692,0.2500000,0.1538462,0.0833333
heart_disease_status,0.2275180,0.2445003,0.2788632,0.2788632,0.5112285,0.0588235,0.2177122,0.0000000,0.3346370,0.3650000,0.2969121,0.2177122
Systolic_BP,0.1392405,0.0000000,0.0000000,0.0645161,0.0500000,0.1250000,0.1142857,0.3043478,0.2765957,0.1538462,0.1946903,0.2465753
Diaolistic_BP,0.1679389,0.0500000,0.0540541,0.0540541,0.0909091,0.1052632,0.0465116,0.2857143,0.2616822,0.1333333,0.1799486,0.1623616
bmi,0.1538462,0.1666667,0.0000000,0.0000000,0.0000000,0.0000000,0.1428571,0.0000000,0.1000000,0.0000000,0.0000000,0.0000000
cholesterol,0.0800000,0.0714286,0.0769231,0.1666667,0.1333333,0.3636364,0.1428571,0.0833333,0.1875000,0.2857143,0.2000000,0.1428571
smoker,0.0540541,0.2500000,0.1250000,0.2857143,0.0909091,0.1111111,0.8333333,0.0000000,0.0769231,0.1818182,0.1818182,0.3750000
medications,0.1739130,0.1538462,0.0769231,0.0769231,0.1333333,0.1538462,0.1428571,0.0833333,0.1875000,0.1250000,0.1250000,0.0666667
